学号,知识点id,分数
223401050109,5,100
223401050110,5,0
223401050111,5,100
223401050112,5,0
223401050113,5,0
223401050114,5,0
223401050115,5,0
223401050116,5,0
223401050117,5,100
223401050118,5,0
223401050119,5,100
223401050120,5,0
223401050121,5,100
223401050122,5,100
223401050123,5,100
223401050124,5,0
223401050125,5,100
223401050126,5,0
223401050127,5,100
223401050128,5,100
223401050129,5,0
223401050130,5,100
223401050131,5,0
223401050132,5,100
223401050134,5,0
223401050135,5,100
223401050201,5,100
223401050202,5,0
223401050203,5,0
223401050204,5,0
223401050205,5,0
223401050206,5,0
223401050207,5,100
223401050208,5,0
223401050209,5,0
223401050210,5,100
223401050211,5,100
223401050212,5,100
223401050213,5,0
223401050214,5,100
223401050215,5,0
223401050216,5,100
223401050217,5,0
223401050218,5,100
223401050219,5,100
223401050220,5,0
223401050221,5,100
223401050222,5,100
223401050223,5,0
223401050224,5,100
223401050225,5,100
223401050226,5,0
223401050227,5,0
223401050228,5,100
223401050229,5,0
223401050230,5,100
223401050231,5,0
223401050232,5,0
223401050233,5,0
223401050234,5,0
223401050235,5,100
223405010213,5,0
223406010708,5,100
223406010709,5,100
223407020133,5,100
223407020218,5,0
223408110202,5,100
223409010210,5,0
223411010109,5,0
223411010111,5,100
223411010232,5,0
223411020111,5,100
223411070102,5,100
223412010212,5,100
223423050108,5,100
223423050133,5,100
223428020104,5,0
223428020136,5,0
223428030201,5,100
223428060112,5,100
223428060201,5,100
223428060202,5,0
223428060218,5,100
183423050114,6,-1
193401010122,6,-1
203401050130,6,-1
203406010614,6,-1
203409010318,6,-1
213401010106,6,-1
213401040108,6,-1
213401050132,6,-1
213401050217,6,-1
213401050227,6,-1
213401050230,6,-1
213412010226,6,-1
213428030211,6,-1
213428040133,6,-1
213428040214,6,-1
223401010101,6,-1
223401010102,6,-1
223401010103,6,-1
223401010104,6,-1
223401010105,6,-1
223401010106,6,-1
223401010107,6,-1
223401010108,6,-1
223401010109,6,-1
223401010110,6,-1
223401010112,6,-1
223401010113,6,-1
223401010114,6,-1
223401010115,6,-1
223401010116,6,-1
223401010117,6,-1
223401010118,6,-1
223401010119,6,-1
223401010120,6,-1
223401010121,6,-1
223401010122,6,-1
223401010123,6,-1
223401010124,6,-1
223401010125,6,-1
223401010126,6,-1
223401010127,6,-1
223401010128,6,-1
223401010129,6,-1
223401010130,6,-1
223401010131,6,-1
223401010132,6,-1
223401010133,6,-1
223401010134,6,-1
223401010136,6,-1
223401010137,6,-1
223401010138,6,-1
223401010140,6,-1
223401010201,6,-1
